,index,product_name,price,made_in,standard_soc_ma,algodon,poliester,elastano,elastomultiester,liocel,lino,main_txt,total_composition,1_composition,second_txt,2_composition,OCS,RCS,txt_recycled,rec_poliester,rec_cotton,cotton_OCS,certificacion,porcentaje,intertek
305,56,Jean Wide Leg,29.95,Turquia,True,0.99,,0.01,,,,algodon,2,0.99,elastano,0.01,None,RCS,,,0.2,,OCS,,True
306,57,Jean Mom,25.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,RCS,,,0.2,,OCS,,True
307,58,Jean Mom,25.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,RCS,,,0.2,,OCS,,True
308,59,Jean Rectos,25.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
309,60,Jean Rectos,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
311,62,Jean Temporada,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
312,63,Jean Wide Leg,29.95,Turquia,True,0.82,,,,0.18,,algodon,2,0.82,liocel,0.18,None,RCS,,,0.2,,OCS,,True
313,64,Jean Rectos,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
314,65,Jean Rectos,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.51,OCS,0.51,True
315,66,Jean Temporada,29.95,Bangladesh,True,0.99,,0.01,,,,algodon,2,0.99,elastano,0.01,None,None,,,,,,,False
316,67,Jean Temporada,39.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.05,0.5,OCS,0.5,True
317,68,Jean Skinny,19.95,Bangladesh,True,0.95,,0.02,0.03,,,algodon,3,0.95,elastomultiester,0.03,None,None,,,,,,,False
318,69,Jean Skinny,19.95,Bangladesh,True,0.95,,0.02,0.03,,,algodon,3,0.95,elastomultiester,0.03,None,None,,,,,,,False
319,70,Jean Skinny,19.95,Bangladesh,True,0.95,,0.02,0.03,,,algodon,3,0.95,elastomultiester,0.03,None,None,,,,,,,False
320,71,Jean Skinny,19.95,Bangladesh,True,0.95,,0.02,0.03,,,algodon,3,0.95,elastomultiester,0.03,None,None,,,,,,,False
321,72,Jean Temporada,29.95,Bangladesh,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
322,73,Jean Temporada,29.95,Pakistan,True,1.0,,,,,,algodon,1,1.0,,,OCS,None,,,,0.6,OCS,0.6,True
323,74,Jean Mom,25.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,None,None,,,,,,,False
324,75,Jean Rectos,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
325,76,Jean Rectos,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
326,77,Jean Rectos,29.95,Turquia,True,1.0,,,,,,algodon,1,1.0,,,OCS,RCS,,,0.2,0.8,OCS,0.8,True
