,index,product_name,price,made_in,standard_soc_ma,algodon,poliamida,elastano,lino,viscosa,poliester,modal,otras,liocel,fibra,acrilico,lana,seda,main_txt,total_composition,1_composition,second_txt,2_composition,OCS,RCS,txt_recycled,cotton_OCS,rec_poliester,rec_cotton,rec_poliamida,rec_acrilico,rec_elastano,certificacion,porcentaje,intertek
145,145,Camiseta Poliamida,9.95,Turquia,True,,0.94,0.06,,,,,,,,,,,poliamida,2,0.94,elastano,0.06,,,poliamida ,,,,0.71,,,RCS,0.71,True
146,146,Camiseta Oversize,15.95,Marruecos,True,0.89,,,,,0.11,,,,,,,,algodon,2,0.89,poliester,0.11,,,,,,,,,,None,,False
147,147,Sudadera,19.95,Marruecos,True,0.85,,,,0.01,0.14,,,,,,,,algodon,3,0.85,poliester,0.14,,,,,,,,,,None,,False
148,148,Camiseta Temporada,12.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
149,149,Camiseta Temporada,12.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
150,150,Camiseta Temporada,8.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
151,151,Camiseta Temporada,6.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
152,152,Camiseta Temporada,12.95,Marruecos,True,,,,,,,1.0,,,,,,,modal,1,1.0,,,,,,,,,,,,None,,False
153,153,Camiseta Algodon Enzimatico,8.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
154,154,Camiseta Rib,6.95,Bangladesh,True,0.95,,0.05,,,,,,,,,,,algodon,2,0.95,elastano,0.05,,,,,,,,,,None,,False
155,155,Camiseta Temporada,12.95,Marruecos,True,0.96,,0.04,,,,,,,,,,,algodon,2,0.96,elastano,0.04,,,,,,,,,,None,,False
156,156,Camiseta Algodon Basica,6.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
157,157,Camiseta Temporada,7.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
158,158,Camiseta Temporada,15.95,Portugal,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
159,159,Camiseta Temporada,15.95,Marruecos,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
160,160,Top Crop,5.95,Turquia,True,,,0.04,,0.96,,,,,,,,,viscosa,2,0.96,elastano,0.04,,,,,,,,,,None,,False
161,161,Camiseta Temporada,15.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
162,162,Camiseta Temporada,12.95,Marruecos,True,,,0.02,,,,0.98,,,,,,,modal,2,0.98,elastano,0.02,,,,,,,,,,None,,False
163,163,Camiseta Algodon Basica,7.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,OCS,,,1.0,,,,,,OCS,1.0,True
164,164,Sudadera,15.95,Bangladesh,True,1.0,,,,,,,,,,,,,algodon,1,1.0,,,,,,,,,,,,None,,False
